score
69
40
59
77
49
57
34
54
40
57
57
52
67
59
54
54
50
36
36
65
42
31
71
49
38
76
51
86
47
40
40
41
32
66
48
31
53
72
48
46
58
43
73
70
36
57
49
50
66
86
36
76
52
51
33
61
57
32
60
37
62
63
50
54
60
45
49
44
64
17
58
56
55
44
51
36
45
62
64
42
51
70
21
65
65
44
41
26
47
